Drug_A,Drug_B,Level
Dicoumarol,Hydromorphone,No Interaction
Artemether,Iodide I-131,Moderate
Polythiazide,Iohexol,Moderate
Ergotamine,Ibutilide,No Interaction
Folic acid,Fosphenytoin,Moderate
Estradiol,Stavudine,No Interaction
Gadoversetamide,Clopidogrel,Unknown
Romosozumab,Vortioxetine,No Interaction
Cobicistat,Encorafenib,Major
Sevelamer,Ribavirin,Unknown
Octreotide,Acetylcysteine,Unknown
Sulfamethizole,Triflupromazine,No Interaction
Lovastatin,Satralizumab,No Interaction
Morphine,Promethazine,Moderate
Duloxetine,Cobicistat,Moderate
Moxifloxacin,Lanthanum carbonate,Moderate
Etodolac,Nevirapine,No Interaction
Brentuximab vedotin,Tacrine,No Interaction
Tinidazole,Iodide I-123,Moderate
Labetalol,Mannitol,Unknown
Vitamin A,Colestipol,Moderate
Cabazitaxel,Milrinone,No Interaction
Dopamine,Iobenguane (I-123),Moderate
Nortriptyline,Flumazenil,Major
Calcium Phosphate,Lofexidine,No Interaction
Diatrizoate,Dobutamine,Moderate
Potassium Iodide,Thiotepa,No Interaction
Anisindione,Deferasirox,Major
Ergometrine,Pramipexole,No Interaction
Amyl Nitrite,Tetracaine (topical),Moderate
Palifermin,Decitabine,Moderate
Histamine,Penicillamine,No Interaction
Labetalol,Streptozocin,No Interaction
Magnesium oxide,Nizatidine,No Interaction
Chlorzoxazone,Ethanol,Moderate
Bacitracin,Iopamidol,Major
Mebendazole,Tasimelteon,No Interaction
Dexmethylphenidate,Oxymetazoline (topical),No Interaction
Cabozantinib,Macimorelin,Major
Sevelamer,Cinoxacin,Moderate
Midodrine,Zoledronic acid,No Interaction
Quinine,Macimorelin,Major
Amitriptyline,Amphotericin B,No Interaction
Carisoprodol,Prednisolone,Unknown
Bosentan,Metamfetamine,No Interaction
Bupropion,Acetylcysteine,Unknown
Bromocriptine,Daclatasvir,No Interaction
Cocaine (nasal),Iopamidol,Major
